2831088,Sonthofen
2661604,Basel
2847639,Rheinfelden (Baden)
665850,Suceava
2658432,Tagerwilen
665382,Tautii Magherus
2763795,Ternitz
2873291,Marktoberdorf
669289,Radauti
2896530,Illmensee
2822083,Titisee-Neustadt
2766692,Sankt Georgen im Attergau
2779378,Frankenmarkt
2820752,Turkheim
2843636,Rottweil
2867714,Muenchen
2768348,Pressbaum
2871601,Messstetten
2917221,Grobenzell
2761369,Vienna
2932924,Ehingen
3058210,Pezinok
2781017,Deutsch-Wagram
2948246,Bisingen
2865376,Neufahrn bei Freising
2881885,Lahr
3019372,Etrechy
2881857,Laichingen
2865341,Neuffen
2899880,Holzgerlingen
2975525,Savigny-sur-Orge
2876462,Loffenau
2854840,Perlesreut
3206285,Urbach
2996148,Mantes-la-Jolie
3078610,Brno
2909313,Hassloch
3063196,Velke Mezirici
2972811,Thionville
2910935,Hangard
2839335,Schifferstadt
2929863,Eppelheim
2896468,Ilvesheim
2953402,Bad Mergentheim
2859772,Obermichelbach
2925550,Frankenthal
3068797,Ostravice
2905457,Herzogenaurach
763534,Nowy Sacz
3065379,Stara Ves nad Ondrejnici
770293,Jaslo
3064919,Stribro
2933019,Eggolsheim
3062811,Vitkov
2869908,Monchberg
2913598,Guntersblum
2937591,Dieburg
3068927,Opava
5947708,Elkford
773380,Debica
3067696,Prague
2929134,Eschborn
3029030,Cambrai
2858738,Oberursel
766332,Lezajsk
3031380,Bouchain
3030799,Boussois
3038731,Abscon
2638698,Saint Stephen
2906843,Hellenthal
2939710,Crottendorf
3037520,Annoeullin
758252,Staszow
758445,Stalowa Wola
3062439,Vrchlabi
3096576,Karpacz
769250,Kielce
2759350,Beek
757886,Suchedniow
3020686,Dunkerque
2792856,Leopoldsburg
2647240,Headcorn
2808559,Willich
2649322,Fleet
2633993,Whyteleafe
3083788,Szczercow
2917816,Grefrath
2636716,Stratfield Mortimer
2655627,Birchington-on-Sea
760778,Radom
762199,Pionki
2635150,Upminster
6690806,Cranham
767814,Kozienice
2639583,Rayleigh
2653256,Chepstow
7303225,Headwood Bolevad
2647108,Hengoed
6690591,Little Chalfont
2849548,Rees
